"OBJECTID" "PROV_34_ID" "PROV_34_NA" "DIST_34_ID" "DIST_34_NA" "AREA_SQKM" "HECTARES" "SHAPE_LENG" "Dis_Old_ID" "REGION" "T_P_BS" "T_P_MAL" "T_P_FMAL" "U_BS" "UR_MAL" "UR_FMAL" "RU_BS" "RU_MAL" "RU_FMAL" "POP_DEN"
"35" 37 29 "Hilmand" 2903 "Kajaki" 1975.93375354 197593.375354 2.6795683009 2303 "Southern" 68300 35000 33300 0 0 0 68300 35000 33300 34.566
"36" 38 29 "Hilmand" 2906 "Naw Zad" 4135.19600425 413519.600425 4.31215266789 2306 "Southern" 48600 24900 23700 0 0 0 48600 24900 23700 11.753
"37" 39 29 "Hilmand" 2904 "Musa Qala" 1693.82297733 169382.297733 2.04508968016 2304 "Southern" 56500 29000 27500 0 0 0 56500 29000 27500 33.356
"38" 40 29 "Hilmand" 2905 "Baghran" 3124.39714566 312439.714566 3.11994608428 2305 "Southern" 78000 40000 38000 0 0 0 78000 40000 38000 24.965
"39" 41 30 "Kandahar" 3009 "Registan" 13679.9297195 1367992.97195 4.60445494127 2409 "Southern" 8500 4400 4100 0 0 0 8500 4400 4100 0.621
"40" 42 30 "Kandahar" 3010 "Shorabak" 4033.62620489 403362.620489 2.8315911215 2410 "Southern" 11000 5600 5400 0 0 0 11000 5600 5400 2.727
"41" 43 30 "Kandahar" 3011 "Spin Boldak" 5644.20076089 564420.076089 3.50349976515 2411 "Southern" 108400 55800 52600 0 0 0 108400 55800 52600 19.206
"42" 44 30 "Kandahar" 3012 "Arghistan" 3908.88030118 390888.030118 3.54865905938 2412 "Southern" 33000 16900 16100 0 0 0 33000 16900 16100 8.442
"43" 45 30 "Kandahar" 3008 "Panjwayi" 5963.25386497 596325.386497 3.40674570583 2408 "Southern" 83300 42400 40900 0 0 0 83300 42400 40900 13.969
"44" 46 30 "Kandahar" 3001 "Kandahar" 777.88488232 77788.488232 1.24918882915 2401 "Southern" 521100 267800 253300 385700 198500 187200 135400 69300 66100 669.893
"45" 47 30 "Kandahar" 3002 "Daman" 4135.77058423 413577.058423 4.45331035343 2402 "Southern" 33200 17100 16100 0 0 0 33200 17100 16100 8.028
"46" 48 30 "Kandahar" 3003 "Shah Wali Kot" 3228.84419233 322884.419233 3.43499212096 2403 "Southern" 41400 21200 20200 0 0 0 41400 21200 20200 12.822
"47" 49 30 "Kandahar" 3004 "Arghandab" 578.844936205 57884.4936205 1.17472196272 2404 "Southern" 59300 30500 28800 0 0 0 59300 30500 28800 102.445
"48" 50 30 "Kandahar" 3007 "Maywand" 2858.35458415 285835.458415 2.33120238545 2407 "Southern" 56000 28400 27600 0 0 0 56000 28400 27600 19.592
"49" 51 30 "Kandahar" 3006 "Ghorak" 1503.59390796 150359.390796 1.9983977626 2406 "Southern" 9200 4700 4500 0 0 0 9200 4700 4500 6.119
"50" 52 30 "Kandahar" 3016 "Zhari" 665.196580374 66519.6580374 1.2231228144 2416 "Southern" 82000 42000 40000 0 0 0 82000 42000 40000 123.272
"51" 53 30 "Kandahar" 3005 "Khakrez" 1616.32042974 161632.042974 2.22657294697 2405 "Southern" 21800 11100 10700 0 0 0 21800 11100 10700 13.487
"52" 54 31 "Badghis" 3102 "Ab Kamari" 1817.25136484 181725.136484 2.26428040634 1902 "Western" 70400 36000 34400 0 0 0 70400 36000 34400 38.74
"53" 55 31 "Badghis" 3107 "Muqur" 1133.06435423 113306.435423 2.28109152417 1907 "Western" 22700 11600 11100 0 0 0 22700 11600 11100 20.034
"54" 56 31 "Badghis" 3101 "Qala-I- Naw" 760.052494808 76005.2494808 1.51711739798 1901 "Western" 63000 32200 30800 13500 6900 6600 49500 25300 24200 82.889
"55" 57 22 "Uruzgan" 2205 "Dihrawud" 1644.74035723 164474.035723 2.34774297926 2609 "Southern" 58200 30100 28100 3100 1600 1500 55100 28500 26600 35.386
"56" 58 22 "Uruzgan" 2204 "Shahidi Hassas" 1828.15740253 182815.740253 2.32599911345 2608 "Southern" 56500 28700 27800 0 0 0 56500 28700 27800 30.905
"57" 59 30 "Kandahar" 3015 "Nesh" 1302.7245672 130272.45672 1.80173091493 2415 "Southern" 12800 6500 6300 0 0 0 12800 6500 6300 9.826
"58" 60 31 "Badghis" 3103 "Qadis" 3385.34990084 338534.990084 3.48240524377 1903 "Western" 87000 44800 42200 0 0 0 87000 44800 42200 25.699
"59" 61 20 "Ghor" 2003 "Tulak" 2714.89191892 271489.191892 2.64495861523 2703 "Western" 49200 25400 23800 0 0 0 49200 25400 23800 18.122
"60" 62 20 "Ghor" 2004 "Saghar" 2643.74504017 264374.504017 3.12402211046 2704 "Western" 33200 17200 16000 0 0 0 33200 17200 16000 12.558
"61" 63 22 "Uruzgan" 2201 "Tirin Kot" 1765.96494004 176596.494004 2.34130493061 2601 "Southern" 98200 51000 47200 6300 3200 3100 91900 47800 44100 55.607
"62" 64 27 "Jawzjan" 2708 "Fayzabad" 1160.02160952 116002.160952 1.93105087167 1708 "Northern" 39700 20300 19400 0 0 0 39700 20300 19400 34.224
"63" 65 27 "Jawzjan" 2704 "Mangajek" 1028.9832965 102898.32965 1.46639701112 1704 "Northern" 41000 21000 20000 0 0 0 41000 21000 20000 39.845
"64" 66 27 "Jawzjan" 2702 "Khwaja Du Koh" 2182.38807499 218238.807499 1.96165974356 1702 "Northern" 25800 13200 12600 0 0 0 25800 13200 12600 11.822
"65" 67 27 "Jawzjan" 2701 "Shibirghan" 2263.56982094 226356.982094 2.49238610365 1701 "Northern" 158700 80400 78300 74800 37900 36900 83900 42500 41400 70.11
"66" 68 27 "Jawzjan" 2711 "Qush Tepa" 861.164450639 86116.4450639 1.27549085373 1711 "Northern" 22500 11500 11000 0 0 0 22500 11500 11000 26.127
"67" 69 27 "Jawzjan" 2703 "Darzab" 453.05064939 45305.064939 1.28085892291 1703 "Northern" 46800 23900 22900 1800 900 900 45000 23000 22000 103.3
"68" 70 27 "Jawzjan" 2710 "Khaniqa" 464.922828114 46492.2828114 1.06584613552 1710 "Northern" 37700 19100 18600 0 0 0 37700 19100 18600 81.089
"69" 71 19 "Sari Pul" 1901 "Sari Pul" 2036.97929718 203697.929718 3.01235334138 3101 "Northern" 148100 76100 72000 28200 14500 13700 119900 61600 58300 72.706
"70" 72 19 "Sari Pul" 1906 "Sayyad" 1251.69484375 125169.484375 1.81307456263 3106 "Northern" 52200 27000 25200 0 0 0 52200 27000 25200 41.703
"71" 73 19 "Sari Pul" 1903 "Kohistanat" 6093.90012162 609390.012162 4.87065890128 3103 "Northern" 76500 39200 37300 0 0 0 76500 39200 37300 12.554
"72" 74 28 "Faryab" 2811 "Khani Chahar Bagh" 910.665087572 91066.5087572 1.42486916276 1811 "Northern" 22100 11200 10900 0 0 0 22100 11200 10900 24.268
"73" 75 28 "Faryab" 2812 "Andkhoy" 380.723744605 38072.3744605 1.02416270912 1812 "Northern" 37800 19000 18800 30300 15200 15100 7500 3800 3700 99.285
"74" 76 28 "Faryab" 2814 "Qurghan" 796.50733207 79650.733207 1.14296764435 1814 "Northern" 45000 22800 22200 0 0 0 45000 22800 22200 56.497
"75" 77 28 "Faryab" 2810 "Qaramqol" 1067.91037264 106791.037264 1.80952705706 1810 "Northern" 18700 9400 9300 0 0 0 18700 9400 9300 17.511
"76" 78 28 "Faryab" 2809 "Dawlatabad" 2720.91150585 272091.150585 2.77426917225 1809 "Northern" 46500 23700 22800 4700 2400 2300 41800 21300 20500 17.09
"77" 79 28 "Faryab" 2808 "Shirin Tagab" 1924.29460553 192429.460553 3.0258755794 1808 "Northern" 77900 39800 38100 0 0 0 77900 39800 38100 40.482
"78" 80 28 "Faryab" 2813 "Khwaja Sabz Posh" 511.109585392 51110.9585392 1.18741607631 1813 "Northern" 48600 25000 23600 0 0 0 48600 25000 23600 95.087
"79" 81 28 "Faryab" 2801 "Maymana" 133.771689959 13377.1689959 0.61513664678 1801 "Northern" 76700 39200 37500 76700 39200 37500 0 0 0 573.365
"80" 82 28 "Faryab" 2806 "Bilchiragh" 1189.26429919 118926.429919 2.35478326094 1806 "Northern" 49900 25600 24300 0 0 0 49900 25600 24300 41.959
"81" 83 28 "Faryab" 2802 "Pashtun Kot" 2767.44458004 276744.458004 3.80849782209 1802 "Northern" 180500 92800 87700 0 0 0 180500 92800 87700 65.223
"82" 84 28 "Faryab" 2803 "Almar" 1484.55232513 148455.232513 2.31714159934 1803 "Northern" 67300 34100 33200 0 0 0 67300 34100 33200 45.334
"83" 85 28 "Faryab" 2804 "Qaysar" 2502.48809669 250248.809669 2.87578966626 1804 "Northern" 136200 69700 66500 0 0 0 136200 69700 66500 54.426
"84" 86 28 "Faryab" 2807 "Gurziwan" 1875.29643211 187529.643211 2.3474880397 1807 "Northern" 72500 36800 35700 0 0 0 72500 36800 35700 38.661
"85" 87 28 "Faryab" 2805 "Kohistan" 2254.04470744 225404.470744 2.94355907039 1805 "Northern" 52100 26500 25600 0 0 0 52100 26500 25600 23.114
"86" 88 21 "Daykundi" 2102 "Gizab" 3636.41197804 363641.197804 4.66451719865 3402 "Capital" 64800 33300 31500 3500 1800 1700 61300 31500 29800 17.82
"87" 89 21 "Daykundi" 2101 "Nili" 554.288378909 55428.8378909 1.39374009121 3401 "Capital" 39000 20000 19000 0 0 0 39000 20000 19000 70.36
"88" 90 21 "Daykundi" 2103 "Ishtarlay" 1359.71967593 135971.967593 2.24047654692 3403 "Capital" 45500 23400 22100 0 0 0 45500 23400 22100 33.463
"89" 91 21 "Daykundi" 2108 "Sangi Takht" 1945.53224082 194553.224082 2.83959268339 3408 "Capital" 48400 24800 23600 0 0 0 48400 24800 23600 24.878
"90" 92 20 "Ghor" 2007 "Lal Wa Sarjangal" 3883.31687958 388331.687958 3.23005985127 2707 "Western" 107100 53900 53200 0 0 0 107100 53900 53200 27.58
"91" 93 20 "Ghor" 2009 "Dawlat Yar" 1639.29037172 163929.037172 1.91875926251 2709 "Western" 31200 15700 15500 0 0 0 31200 15700 15500 19.033
"92" 94 20 "Ghor" 2001 "Chaghcharan" 7679.62477619 767962.477619 6.43922221248 2701 "Western" 129600 65700 63900 6500 3300 3200 123100 62400 60700 16.876
"93" 95 20 "Ghor" 2008 "Charsada" 1345.71323604 134571.323604 2.09924710461 2708 "Western" 26200 13400 12800 0 0 0 26200 13400 12800 19.469
"94" 96 20 "Ghor" 2010 "Du Layna" 4626.86409834 462686.409834 4.67773514371 2710 "Western" 34500 17500 17000 0 0 0 34500 17500 17000 7.456
"95" 97 31 "Badghis" 3105 "Ghormach" 2083.25305996 208325.305996 2.23458974271 1905 "Western" 52700 26900 25800 0 0 0 52700 26900 25800 25.297
"96" 98 31 "Badghis" 3106 "Bala Murghab" 4491.30951789 449130.951789 4.10316879747 1906 "Western" 92900 47500 45400 0 0 0 92900 47500 45400 20.684
"97" 99 31 "Badghis" 3104 "Jawand" 7146.26802673 714626.802673 4.61455837743 1904 "Western" 75400 38200 37200 0 0 0 75400 38200 37200 10.551
"98" 100 32 "Hirat" 3215 "Chishti Sharif" 2575.45684618 257545.684618 2.9956162726 2015 "Western" 22700 11600 11100 0 0 0 22700 11600 11100 8.814
"99" 101 20 "Ghor" 2002 "Shahrak" 4349.71469807 434971.469807 3.67903496185 2702 "Western" 57200 29600 27600 0 0 0 57200 29600 27600 13.15
"100" 102 20 "Ghor" 2005 "Taywara" 3629.32174323 362932.174323 3.27919321775 2705 "Western" 87400 45300 42100 0 0 0 87400 45300 42100 24.082
"101" 103 29 "Hilmand" 2907 "Washer" 4318.97252181 431897.252181 3.18366086908 2307 "Southern" 14900 7600 7300 0 0 0 14900 7600 7300 3.45
"102" 104 34 "Nimroz" 3406 "Dilaram" 2476.01182702 247601.182702 2.1033020413 2206 "Southern" 6200 3200 3000 0 0 0 6200 3200 3000 2.504
"103" 105 20 "Ghor" 2006 "Pasaband" 4537.04780847 453704.780847 4.00291050236 2706 "Western" 90700 46400 44300 0 0 0 90700 46400 44300 19.991
"104" 106 21 "Daykundi" 2105 "Khadir" 1583.15066394 158315.066394 2.24216156171 3405 "Capital" 44600 22900 21700 0 0 0 44600 22900 21700 28.172
"105" 107 21 "Daykundi" 2106 "Gaiti" 1452.73664879 145273.664879 2.488037683 3406 "Capital" 32000 16500 15500 0 0 0 32000 16500 15500 22.027
"106" 108 21 "Daykundi" 2104 "Kajran" 1886.72443244 188672.443244 2.62302963204 3404 "Capital" 33500 17200 16300 0 0 0 33500 17200 16300 17.756
"107" 109 22 "Uruzgan" 2202 "Chora" 3005.99455334 300599.455334 3.64031943642 2602 "Southern" 48800 24900 23900 0 0 0 48800 24900 23900 16.234
"108" 110 32 "Hirat" 3201 "Hirat" 1255.95744205 125595.744205 1.61979556633 2001 "Western" 423300 215000 208300 423300 215000 208300 0 0 0 337.034
"109" 111 32 "Hirat" 3202 "Injil" 190.29691963 19029.691963 0.58329807031 2002 "Western" 233900 118900 115000 0 0 0 233900 118900 115000 1229.132
"110" 112 32 "Hirat" 3211 "Adraskan" 10070.2211658 1007022.11658 6.80518196296 2011 "Western" 51400 25900 25500 0 0 0 51400 25900 25500 5.104
"111" 113 30 "Kandahar" 3014 "Miya Nishin" 917.551197947 91755.1197947 1.64606149071 2414 "Southern" 14400 7400 7000 0 0 0 14400 7400 7000 15.694
"112" 114 23 "Zabul" 2305 "Mizan" 1107.90897021 110790.897021 1.52103380355 2505 "Southern" 13100 6700 6400 0 0 0 13100 6700 6400 11.824
"113" 115 23 "Zabul" 2306 "Tarnak Wa Jaldak" 1475.97307222 147597.307222 1.97726081405 2506 "Southern" 16400 8400 8000 0 0 0 16400 8400 8000 11.111
"114" 116 23 "Zabul" 2308 "Atghar" 490.996446687 49099.6446687 1.22443787893 2508 "Southern" 8400 4300 4100 0 0 0 8400 4300 4100 17.108
"115" 117 23 "Zabul" 2301 "Qalat" 1828.2581542 182825.81542 2.06889670622 2501 "Southern" 33700 17300 16400 11200 5800 5400 22500 11500 11000 18.433
"116" 118 23 "Zabul" 2304 "Daychopan" 1645.70107851 164570.107851 2.68813943239 2504 "Southern" 37600 19200 18400 0 0 0 37600 19200 18400 22.847
"117" 119 6 "Nangarhar" 616 "Goshta" 520.646447901 52064.6447901 1.10491571647 816 "Eastern" 26100 13300 12800 0 0 0 26100 13300 12800 50.13
"118" 120 6 "Nangarhar" 615 "Lal Por" 476.378380206 47637.8380206 1.04303329964 815 "Eastern" 19600 10000 9600 0 0 0 19600 10000 9600 41.144
"119" 121 6 "Nangarhar" 614 "Muhmand Dara" 202.502626779 20250.2626779 0.87835627614 814 "Eastern" 42900 22000 20900 0 0 0 42900 22000 20900 211.849
"120" 122 6 "Nangarhar" 617 "Bati Kot" 144.087166085 14408.7166085 0.47855089372 817 "Eastern" 72400 36900 35500 0 0 0 72400 36900 35500 502.474
"121" 123 6 "Nangarhar" 618 "Kama" 235.824408911 23582.4408911 0.76686006846 818 "Eastern" 73500 37700 35800 0 0 0 73500 37700 35800 311.673
"122" 124 6 "Nangarhar" 619 "Kuz Kunar" 292.771032205 29277.1032205 0.82796163846 819 "Eastern" 52600 27100 25500 0 0 0 52600 27100 25500 179.663
"123" 125 6 "Nangarhar" 620 "Dara-I-Nur" 253.557421368 25355.7421368 0.62244024378 820 "Eastern" 38600 19700 18900 0 0 0 38600 19700 18900 152.234
"124" 126 6 "Nangarhar" 621 "Bihsud" 312.383929198 31238.3929198 1.17639842818 821 "Eastern" 108700 55200 53500 0 0 0 108700 55200 53500 347.969
"125" 127 6 "Nangarhar" 601 "Jalalabad" 28.9325506534 2893.25506534 0.254871042 801 "Eastern" 200400 103200 97200 200400 103200 97200 0 0 0 6926.455
"126" 128 6 "Nangarhar" 602 "Surkh Rod" 368.607998689 36860.7998689 0.95853581108 802 "Eastern" 115200 59300 55900 0 0 0 115200 59300 55900 312.527
"127" 129 6 "Nangarhar" 612 "Dur Baba" 268.240531214 26824.0531214 0.74494567939 812 "Eastern" 22300 11500 10800 0 0 0 22300 11500 10800 83.134
"128" 130 6 "Nangarhar" 613 "Shinwar" 164.004768349 16400.4768349 0.6399106852 813 "Eastern" 57300 29200 28100 0 0 0 57300 29200 28100 349.38
"129" 131 6 "Nangarhar" 611 "Nazyan" 211.280757246 21128.0757246 0.77712449198 811 "Eastern" 14000 7300 6700 0 0 0 14000 7300 6700 66.263
"130" 132 6 "Nangarhar" 610 "Acheen" 451.015658505 45101.5658505 1.02199565305 810 "Eastern" 95900 48800 47100 0 0 0 95900 48800 47100 212.631
"131" 133 6 "Nangarhar" 622 "Kot" 178.732978552 17873.2978552 0.69418606712 822 "Eastern" 49800 25200 24600 0 0 0 49800 25200 24600 278.628
"132" 134 6 "Nangarhar" 609 "Rodat" 366.232912085 36623.2912085 0.96962166703 809 "Eastern" 66000 33900 32100 0 0 0 66000 33900 32100 180.213
"133" 135 6 "Nangarhar" 608 "Deh Bala" 385.182321428 38518.2321428 0.89428765197 808 "Eastern" 38600 19800 18800 0 0 0 38600 19800 18800 100.212
"134" 136 6 "Nangarhar" 606 "Chaparhar" 225.660458739 22566.0458739 0.68336399469 806 "Eastern" 57600 29300 28300 0 0 0 57600 29300 28300 255.251
"135" 137 6 "Nangarhar" 607 "Pachier Agam" 471.476981032 47147.6981032 1.03845360522 807 "Eastern" 40700 20900 19800 0 0 0 40700 20900 19800 86.324
"136" 138 6 "Nangarhar" 605 "Khogayani" 655.008318893 65500.8318893 1.61419339131 805 "Eastern" 124700 64000 60700 4300 2200 2100 120400 61800 58600 190.379
"137" 139 6 "Nangarhar" 604 "Shirzad" 471.445190869 47144.5190869 1.05226682255 804 "Eastern" 63300 32200 31100 0 0 0 63300 32200 31100 134.268
"138" 140 6 "Nangarhar" 603 "Hesarak" 680.176965925 68017.6965925 1.61027080608 803 "Eastern" 29400 15000 14400 0 0 0 29400 15000 14400 43.224
"139" 141 5 "Logar" 506 "Azra" 754.404125392 75440.4125392 1.61156178442 506 "Capital" 19400 10000 9400 0 0 0 19400 10000 9400 25.716
"140" 142 12 "Paktya" 1211 "Ali Khail (Jaji)" 606.282769676 60628.2769676 1.56014163017 723 "Capital" 60200 30900 29300 0 0 0 60200 30900 29300 99.294
"141" 143 12 "Paktya" 1207 "Dand Patan" 207.018740467 20701.8740467 0.79469252881 717 "Capital" 25300 13000 12300 0 0 0 25300 13000 12300 122.211
"142" 144 12 "Paktya" 1208 "Chamkani" 298.572694678 29857.2694678 0.89466929422 718 "Capital" 47800 24100 23700 0 0 0 47800 24100 23700 160.095
"143" 145 12 "Paktya" 1209 "Laja Ahmad Khail" 422.238538597 42223.8538597 1.10446175527 719 "Capital" 21800 11200 10600 0 0 0 21800 11200 10600 51.63
"144" 146 12 "Paktya" 1210 "Sayed Karam" 447.441176556 44744.1176556 1.03324677058 722 "Capital" 61500 31600 29900 0 0 0 61500 31600 29900 137.448
"145" 147 12 "Paktya" 1205 "Ahmad Abad" 423.438001741 42343.8001741 1.18917433952 705 "Capital" 26700 13400 13300 0 0 0 26700 13400 13300 63.055
"146" 148 12 "Paktya" 1206 "Jani Khail" 144.120675855 14412.0675855 0.65125005649 716 "Capital" 33400 17200 16200 0 0 0 33400 17200 16200 231.75
