"GEOCODE" "NAME" "LAT" "LON" "TYPE" "DIST_ID" "DIST_NAM" "PROV_ID" "PROV_NAM" "coords.x1" "coords.x2"
"50" "AF010100081" "Jamal Mina" 34.5152 69.14579 0 101 "Kabul" 1 "Kabul" 69.14579 34.5152
"51" "AF011000082" "Qala-I- Hashmatkhan" 34.492 69.18819 0 110 "Bagrami" 1 "Kabul" 69.18819 34.492
"52" "AF010100083" "Dih Mazang" 34.5121 69.15279 0 101 "Kabul" 1 "Kabul" 69.15279 34.5121
"53" "AF010100084" "Baraki" 34.53791 69.1441 0 101 "Kabul" 1 "Kabul" 69.1441 34.53791
"54" "AF010100085" "Afshari Nanakchi" 34.5305 69.11449 0 101 "Kabul" 1 "Kabul" 69.11449 34.5305
"55" "AF010100086" "Qala-I- Jawad" 34.52539 69.10939 0 101 "Kabul" 1 "Kabul" 69.10939 34.52539
"56" "AF010100087" "Aliabad" 34.5193 69.12299 0 101 "Kabul" 1 "Kabul" 69.12299 34.5193
"57" "AF010100088" "Qala-i- Ghawas" 34.54199 69.13449 0 101 "Kabul" 1 "Kabul" 69.13449 34.54199
"58" "AF010100089" "Sherpur" 34.53609 69.1745 0 101 "Kabul" 1 "Kabul" 69.1745 34.53609
"59" "AF010100090" "KABUL" 34.53109 69.1628 3 101 "Kabul" 1 "Kabul" 69.1628 34.53109
"60" "AF010100091" "Qala-I-Musa" 34.54469 69.1767 0 101 "Kabul" 1 "Kabul" 69.1767 34.54469
"61" "AF011000092" "Qalacha-i-Sahibzada Ha" 34.49149 69.21079 0 110 "Bagrami" 1 "Kabul" 69.21079 34.49149
"62" "AF011000093" "Qala-I- Naw" 34.497 69.2085 0 110 "Bagrami" 1 "Kabul" 69.2085 34.497
"63" "AF010100094" "Simint Khana" 34.52309 69.2058 0 101 "Kabul" 1 "Kabul" 69.2058 34.52309
"64" "AF011000095" "Welayati" 34.46758 69.20203 0 110 "Bagrami" 1 "Kabul" 69.20203 34.46758
"65" "AF010100096" "Wasilabad" 34.49199 69.1606 0 101 "Kabul" 1 "Kabul" 69.1606 34.49199
"66" "AF011000097" "Qal'eh-ye Muhsen" 34.4833 69.33589 0 110 "Bagrami" 1 "Kabul" 69.33589 34.4833
"67" "AF011000098" "Qal'eh-ye Rabaz" 34.4768 69.28519 0 110 "Bagrami" 1 "Kabul" 69.28519 34.4768
"68" "AF011000099" "Mamozi" 34.45497 69.25198 0 110 "Bagrami" 1 "Kabul" 69.25198 34.45497
"69" "AF011000100" "Shewaki" 34.45499 69.22779 0 110 "Bagrami" 1 "Kabul" 69.22779 34.45499
"70" "AF011000101" "Sahak" 34.4544 69.21869 0 110 "Bagrami" 1 "Kabul" 69.21869 34.4544
"71" "AF011000102" "Myakhel" 34.4472 69.21909 0 110 "Bagrami" 1 "Kabul" 69.21909 34.4472
"72" "AF011000103" "Yakhdara" 34.43349 69.26759 0 110 "Bagrami" 1 "Kabul" 69.26759 34.43349
"73" "AF011000104" "Qal'eh-ye Rangmal" 34.46239 69.24569 0 110 "Bagrami" 1 "Kabul" 69.24569 34.46239
"74" "AF011000105" "Nyazi" 34.46749 69.21649 0 110 "Bagrami" 1 "Kabul" 69.21649 34.46749
"75" "AF011000106" "Syahbini" 34.45836 69.20732 0 110 "Bagrami" 1 "Kabul" 69.20732 34.45836
"76" "AF011000107" "Deh Ya'qub" 34.46379 69.24489 0 110 "Bagrami" 1 "Kabul" 69.24489 34.46379
"77" "AF011000108" "Qal'eh-ye Wazir" 34.47724 69.20805 0 110 "Bagrami" 1 "Kabul" 69.20805 34.47724
"78" "AF011000109" "Binihisar" 34.48339 69.2168 0 110 "Bagrami" 1 "Kabul" 69.2168 34.48339
"79" "AF011000110" "Qal'eh-ye Mohammad-muhsen" 34.46569 69.28369 0 110 "Bagrami" 1 "Kabul" 69.28369 34.46569
"80" "AF011000111" "Nuhburja" 34.4628 69.26259 0 110 "Bagrami" 1 "Kabul" 69.26259 34.4628
"81" "AF011000112" "Qal'eh-ye Adamkhan" 34.46319 69.2699 0 110 "Bagrami" 1 "Kabul" 69.2699 34.46319
"82" "AF011000113" "Qal'eh-ye Hasankhan" 34.4779 69.25959 0 110 "Bagrami" 1 "Kabul" 69.25959 34.4779
"83" "AF011000114" "Qal'eh-ye Shekha" 34.46869 69.2541 0 110 "Bagrami" 1 "Kabul" 69.2541 34.46869
"84" "AF011000115" "Qal'eh-ye Pakhchak" 34.46999 69.25889 0 110 "Bagrami" 1 "Kabul" 69.25889 34.46999
"85" "AF011000116" "Kamari" 34.47099 69.2794 0 110 "Bagrami" 1 "Kabul" 69.2794 34.47099
"86" "AF011000117" "Gosfand Dara" 34.4548 69.3728 0 110 "Bagrami" 1 "Kabul" 69.3728 34.4548
"87" "AF011000118" "Karezi Akhundha" 34.45763 69.29381 0 110 "Bagrami" 1 "Kabul" 69.29381 34.45763
"88" "AF011000119" "Qal'eh-ye Ahmadkhan" 34.50719 69.2605 0 110 "Bagrami" 1 "Kabul" 69.2605 34.50719
"89" "AF011000120" "Gerd Kol(Gerd Qol)" 34.48829 69.24789 0 110 "Bagrami" 1 "Kabul" 69.24789 34.48829
"90" "AF011000121" "Qal'eh-ye Hasankhelha" 34.49309 69.27769 0 110 "Bagrami" 1 "Kabul" 69.27769 34.49309
"91" "AF011000122" "Bagrami" 34.4885 69.2718 1 110 "Bagrami" 1 "Kabul" 69.2718 34.4885
"92" "AF011000123" "Husayn Khel" 34.48853 69.30054 0 110 "Bagrami" 1 "Kabul" 69.30054 34.48853
"93" "AF011000124" "Qal'eh-ye Malek Karim" 34.4985 69.2829 0 110 "Bagrami" 1 "Kabul" 69.2829 34.4985
"94" "AF011000125" "Qal'eh-e Sadre'Azam" 34.4949 69.2751 0 110 "Bagrami" 1 "Kabul" 69.2751 34.4949
"95" "AF011000126" "Zanabad" 34.5052 69.3062 0 110 "Bagrami" 1 "Kabul" 69.3062 34.5052
"96" "AF011000127" "Butkhak" 34.50251 69.35223 0 110 "Bagrami" 1 "Kabul" 69.35223 34.50251
"97" "AF011100128" "Shomam Zay" 34.3108 69.438 0 111 "Khaki Jabbar" 1 "Kabul" 69.438 34.3108
"98" "AF011100129" "Rajan" 34.24031 69.44682 0 111 "Khaki Jabbar" 1 "Kabul" 69.44682 34.24031
"99" "AF011100130" "Jango Zay" 34.21849 69.42709 0 111 "Khaki Jabbar" 1 "Kabul" 69.42709 34.21849
"100" "AF011100131" "Darband" 34.2788 69.38219 0 111 "Khaki Jabbar" 1 "Kabul" 69.38219 34.2788
"101" "AF050500132" "Bay Khel" 34.26 69.36029 0 505 "Muhammad Agha" 5 "Logar" 69.36029 34.26
"102" "AF011100133" "Sherullah" 34.29699 69.39739 0 111 "Khaki Jabbar" 1 "Kabul" 69.39739 34.29699
"103" "AF011100134" "Marano Zhawar" 34.307 69.43159 0 111 "Khaki Jabbar" 1 "Kabul" 69.43159 34.307
"104" "AF011100135" "Spina Tizha" 34.2868 69.56449 0 111 "Khaki Jabbar" 1 "Kabul" 69.56449 34.2868
"105" "AF011100136" "Janda" 34.30009 69.57279 0 111 "Khaki Jabbar" 1 "Kabul" 69.57279 34.30009
"106" "AF011100137" "Chalaw(Woli Khel)" 34.36409 69.45429 0 111 "Khaki Jabbar" 1 "Kabul" 69.45429 34.36409
"107" "AF011100138" "Baghgay" 34.34499 69.3121 0 111 "Khaki Jabbar" 1 "Kabul" 69.3121 34.34499
"108" "AF011100139" "Charwazi" 34.3275 69.337 0 111 "Khaki Jabbar" 1 "Kabul" 69.337 34.3275
"109" "AF011100140" "Jawhar" 34.3222 69.31899 0 111 "Khaki Jabbar" 1 "Kabul" 69.31899 34.3222
"110" "AF011100141" "Mulayan" 34.3261 69.4146 0 111 "Khaki Jabbar" 1 "Kabul" 69.4146 34.3261
"111" "AF011100142" "Ghozgay" 34.31699 69.3965 0 111 "Khaki Jabbar" 1 "Kabul" 69.3965 34.31699
"112" "AF011100143" "Taghari Ulya" 34.31839 69.42499 0 111 "Khaki Jabbar" 1 "Kabul" 69.42499 34.31839
"113" "AF011100144" "Qala-I- Khudayar" 34.34448 69.42236 0 111 "Khaki Jabbar" 1 "Kabul" 69.42236 34.34448
"114" "AF011100145" "Chakari" 34.3382 69.4379 0 111 "Khaki Jabbar" 1 "Kabul" 69.4379 34.3382
"115" "AF011100146" "Sheman Zay" 34.3798 69.40949 0 111 "Khaki Jabbar" 1 "Kabul" 69.40949 34.3798
"116" "AF011100147" "Malang" 34.35409 69.4077 0 111 "Khaki Jabbar" 1 "Kabul" 69.4077 34.35409
"117" "AF011100148" "Kharoti" 34.38319 69.34679 0 111 "Khaki Jabbar" 1 "Kabul" 69.34679 34.38319
"118" "AF011100149" "Malik Khel" 34.38089 69.39189 0 111 "Khaki Jabbar" 1 "Kabul" 69.39189 34.38089
"119" "AF011100150" "Khurd Kabul" 34.38474 69.38427 0 111 "Khaki Jabbar" 1 "Kabul" 69.38427 34.38474
"120" "AF011100151" "Nawra" 34.3538 69.42569 0 111 "Khaki Jabbar" 1 "Kabul" 69.42569 34.3538
"121" "AF011100152" "Gurjay" 34.3532 69.4483 0 111 "Khaki Jabbar" 1 "Kabul" 69.4483 34.3532
"122" "AF011100154" "Zendan" 34.36919 69.41799 0 111 "Khaki Jabbar" 1 "Kabul" 69.41799 34.36919
"123" "AF011100155" "Talokhel" 34.3717 69.44939 0 111 "Khaki Jabbar" 1 "Kabul" 69.44939 34.3717
"124" "AF011100156" "Shinwar" 34.32728 69.61002 0 111 "Khaki Jabbar" 1 "Kabul" 69.61002 34.32728
"125" "AF011100157" "Mirza Khan Karez" 34.4047 69.34279 0 111 "Khaki Jabbar" 1 "Kabul" 69.34279 34.4047
"126" "AF011100158" "Dawran Khel" 34.3973 69.42259 0 111 "Khaki Jabbar" 1 "Kabul" 69.42259 34.3973
"127" "AF011100159" "Aynak" 34.39975 69.36539 0 111 "Khaki Jabbar" 1 "Kabul" 69.36539 34.39975
"128" "AF011100160" "Khaki Jabbar" 34.3701 69.39019 1 111 "Khaki Jabbar" 1 "Kabul" 69.39019 34.3701
"129" "AF011100161" "Taghar" 34.4231 69.35159 0 111 "Khaki Jabbar" 1 "Kabul" 69.35159 34.4231
"130" "AF011200162" "Chawki" 34.51349 69.50249 0 112 "Surobi" 1 "Kabul" 69.50249 34.51349
"131" "AF011200163" "Mula Umar Kalay" 34.5107 69.5179 0 112 "Surobi" 1 "Kabul" 69.5179 34.5107
"132" "AF011000164" "Chinari" 34.5082 69.48009 0 110 "Bagrami" 1 "Kabul" 69.48009 34.5082
"133" "AF011000165" "Gazak" 34.5183 69.47379 0 110 "Bagrami" 1 "Kabul" 69.47379 34.5183
"134" "AF011200166" "Qafas Kalay" 34.52039 69.534 0 112 "Surobi" 1 "Kabul" 69.534 34.52039
